Iteration,readAccel,readGyro,getClickSense,getClickBLE,applyCalibration,sensorFusion,mouseMove,ax,ay,dx,dy
0,915,910,47,2,20,27,351,0,0,0,0
1,969,922,23,0,18,9,280,0,0,0,0
2,926,909,26,0,18,9,261,0,0,0,0
3,930,909,23,0,18,10,263,0,0,0,0
4,926,909,26,0,17,9,262,0,0,0,0
5,930,909,23,0,17,10,264,0,0,0,0
6,927,909,27,1,18,10,271,0,0,0,0
7,930,913,22,1,18,10,264,0,0,0,0
8,926,909,26,1,17,10,262,0,0,0,0
9,930,909,23,1,18,10,263,0,0,0,0
10,926,909,26,0,17,10,263,0,0,0,0
11,933,909,22,1,17,10,272,0,0,0,0
12,926,909,26,1,18,9,262,0,0,0,0
13,932,909,23,0,18,9,265,0,0,0,0
14,926,909,26,0,17,10,262,0,0,0,0
15,930,910,23,1,18,10,263,0,0,0,0
16,930,910,26,1,18,19,269,0,0,0,0
17,943,911,23,1,18,12,262,0,0,0,0
18,930,909,26,1,18,12,262,0,0,0,0
19,943,911,23,0,18,11,261,0,0,0,0
20,929,910,26,0,18,12,271,0,-0.17,0,-1
21,950,916,26,0,17,12,307,0,-0.27,0,-3
22,954,915,28,0,18,13,304,-0.22,-0.28,-1,-4
23,956,918,27,1,17,13,304,-0.16,-0.36,-2,-6
24,949,917,29,0,17,13,304,-0.12,-0.38,-3,-8
25,943,912,26,1,17,13,311,-0.17,-0.58,-3,-11
26,942,912,29,0,18,13,304,-0.12,-0.64,-4,-14
27,942,912,26,1,17,13,330,-0.11,-0.63,-4,-16
28,955,919,29,1,18,13,303,-0.11,-0.62,-4,-18
29,943,912,26,1,17,13,312,0,-0.7,-3,-20
30,947,933,38,0,20,13,319,0,-0.72,-2,-21
31,945,912,24,1,17,13,302,0,-0.73,-2,-23
32,947,913,28,0,17,13,303,0,-0.71,-1,-24
33,946,912,25,1,17,13,315,0,-0.44,-1,-22
34,946,926,27,1,18,13,356,0,-0.41,-1,-21
35,945,912,25,1,18,13,305,0,-0.39,0,-20
36,946,929,35,0,19,13,324,0,-0.34,0,-19
37,946,912,25,0,17,13,311,0,0,0,-15
38,931,909,27,0,18,13,297,0,0,0,-12
39,927,909,24,0,17,13,296,0,0,0,-9
40,930,909,26,1,17,12,296,0,0,0,-7
41,929,909,24,1,17,13,305,-0.11,0.11,0,-5
42,942,912,30,1,18,13,305,0,0.13,0,-3
43,946,912,26,1,17,12,303,0,0,0,-2
44,929,910,27,0,18,13,297,0,-0.11,0,-2
45,946,912,25,0,18,13,304,0,-0.21,0,-4
46,954,915,29,0,18,13,312,0,-0.18,0,-4
47,949,915,28,1,18,13,307,0,-0.24,0,-5
48,952,915,29,1,17,12,310,0,-0.34,0,-7
49,946,912,25,1,17,12,304,0,-0.39,0,-8
50,950,915,27,0,18,13,309,0,-0.64,0,-12
51,946,912,25,0,18,13,303,0,-0.63,0,-14
52,959,916,29,1,17,12,303,0,-0.66,0,-17
53,946,912,25,0,17,12,303,0,-0.64,0,-18
54,946,933,27,1,18,13,318,0,-0.83,0,-21
55,947,913,25,0,18,12,305,0,-0.83,0,-23
56,945,920,27,0,17,13,301,0,-0.83,0,-25
57,959,915,25,1,18,13,304,0,-0.84,0,-27
58,960,930,29,1,17,12,301,0,-0.88,0,-28
59,947,929,28,0,19,13,312,0,-0.88,0,-30
60,945,923,28,1,17,12,303,0,-0.89,0,-31
61,947,925,26,1,19,12,314,0,-0.88,0,-32
62,945,912,28,0,18,13,312,0,-0.89,0,-32
63,947,929,25,1,18,12,343,0,-0.88,0,-33
64,945,912,28,0,17,12,316,0,-0.91,0,-33
65,946,929,28,1,21,13,337,0,-0.9,0,-34
66,945,933,27,1,18,12,308,0,-0.89,0,-34
67,947,918,25,1,18,13,336,0,-0.88,0,-34
68,945,912,29,1,17,13,310,0,-0.88,0,-34
69,946,929,26,1,17,12,340,0,-0.89,0,-34
70,945,912,27,0,18,12,315,0,-0.9,0,-35
71,947,913,25,1,18,12,316,0,-0.88,0,-35
72,945,912,29,1,17,12,310,0,-0.89,0,-35
73,948,921,25,0,18,13,310,0,-0.91,0,-35
74,945,912,27,0,18,12,309,0,-0.93,0,-35
75,946,912,25,0,17,12,309,0,-0.93,0,-36
76,946,912,28,1,17,13,317,0.13,-0.88,1,-35
77,943,913,27,0,18,13,312,0.13,-0.85,1,-35
78,941,912,29,1,17,13,311,0.18,-0.72,2,-34
79,943,913,27,1,18,13,317,0.17,-0.71,3,-33
80,945,917,28,0,17,13,311,0.16,-0.24,4,-28
81,942,913,26,1,17,13,305,0.16,-0.22,4,-24
82,944,913,29,1,17,13,304,0.22,-0.13,5,-20
83,957,916,27,1,17,13,303,0.19,-0.14,5,-17
84,943,912,29,0,17,13,311,0.15,0.14,5,-12
85,942,929,26,0,17,13,305,0.11,0.18,5,-8
86,947,915,27,1,17,13,302,0,0.23,4,-5
87,946,914,26,0,18,13,304,0.11,0.24,4,-2
88,943,912,28,0,17,14,305,0.13,0.24,4,0
89,943,926,37,1,20,13,324,0.15,0.18,4,1
90,962,928,28,1,17,13,304,0,0.15,3,2
91,946,928,26,1,17,13,301,0,0.14,3,2
92,956,915,29,0,18,14,303,0,0.12,2,3
93,947,928,36,3,21,13,338,0,0,1,2
94,948,913,28,1,17,13,297,0,0.17,1,3
95,957,929,25,1,20,13,315,-0.2,0.18,0,4
96,961,930,29,1,17,12,302,-0.25,0.16,-2,4
97,942,928,27,1,18,13,303,-0.2,0.19,-3,5
98,943,913,29,1,17,13,330,-0.36,0.3,-5,6
99,942,912,26,1,17,13,306,-0.33,0.33,-6,7
100,942,929,29,0,16,13,338,-0.27,0.3,-7,8
101,942,912,26,0,17,13,307,-0.33,0.27,-8,9
102,943,912,29,2,17,13,322,-0.41,0.14,-10,8
103,942,912,26,0,18,13,304,-0.37,0.1,-11,7
104,942,929,36,1,17,13,325,-0.48,0.14,-12,7
105,942,912,26,0,18,13,303,-0.58,0.16,-14,7
106,942,911,29,1,17,13,310,-0.68,0.12,-17,6
107,942,912,26,0,18,13,306,-0.69,0.11,-19,6
108,941,912,28,1,17,12,303,-0.71,0,-21,4
109,947,913,26,0,18,13,305,-0.71,0,-22,3
110,946,912,28,1,18,13,308,-0.79,0,-24,3
111,947,913,25,0,18,13,304,-0.8,0,-26,2
112,945,912,29,1,17,13,303,-0.79,0,-27,2
113,947,913,25,1,18,13,302,-0.79,0,-28,1
114,946,913,27,0,18,13,309,-0.69,0,-27,1
115,947,913,26,0,18,13,304,-0.68,0,-27,1
116,945,912,27,1,17,12,302,-0.69,0,-27,0
117,947,913,26,0,18,13,305,-0.7,0,-27,0
118,959,915,30,1,17,13,315,-0.52,-0.13,-26,0
119,942,912,26,1,17,13,305,-0.5,-0.15,-25,-1
120,944,913,29,0,18,13,304,-0.49,-0.14,-23,-2
121,942,912,26,1,17,13,305,-0.5,-0.19,-23,-3
